ABC | Shares | ADELAIDE BRIGHTON LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521188 | 2018-12-24 04:05:47.521188
ADR | Shares | ADHERIUM LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.521202 | 2018-12-24 04:05:47.521202
AHZ | Shares | ADMEDUS LTD | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.521215 | 2018-12-24 04:05:47.521215
ADY | Shares | ADMIRALTY RESOURCES NL. | Materials | AUD | None | None | 2018-12-24 04:05:47.521228 | 2018-12-24 04:05:47.521228
ADT | Shares | ADRIATIC METALS PLC | Materials | AUD | None | None | 2018-12-24 04:05:47.521241 | 2018-12-24 04:05:47.521241
ADJ | Shares | ADSLOT LTD | Software & Services | AUD | None | None | 2018-12-24 04:05:47.521254 | 2018-12-24 04:05:47.521254
ANO | Shares | ADVANCE NANOTEK LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521267 | 2018-12-24 04:05:47.521267
ABV | Shares | ADVANCED BRAKING TECHNOLOGY LTD | Automobiles & Components | AUD | None | None | 2018-12-24 04:05:47.521280 | 2018-12-24 04:05:47.521280
ASW | Shares | ADVANCED SHARE REGISTRY LIMITED | Diversified Financials | AUD | None | None | 2018-12-24 04:05:47.521293 | 2018-12-24 04:05:47.521293
AV1 | Shares | ADVERITAS LIMITED | Media & Entertainment | AUD | None | None | 2018-12-24 04:05:47.521306 | 2018-12-24 04:05:47.521306
ADX | Shares | ADX ENERGY LTD | Energy | AUD | None | None | 2018-12-24 04:05:47.521322 | 2018-12-24 04:05:47.521322
AER | Shares | AEERIS LTD | Media & Entertainment | AUD | None | None | 2018-12-24 04:05:47.521335 | 2018-12-24 04:05:47.521335
AML | Shares | AEON METALS LIMITED. | Materials | AUD | None | None | 2018-12-24 04:05:47.521348 | 2018-12-24 04:05:47.521348
AEI | Shares | AERIS ENVIRONMENTAL LTD | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.521361 | 2018-12-24 04:05:47.521361
AIS | Shares | AERIS RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521374 | 2018-12-24 04:05:47.521374
AEB | Shares | AFFINITY ENERGY AND HEALTH LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.521387 | 2018-12-24 04:05:47.521387
AFR | Shares | AFRICAN ENERGY RESOURCES LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.521400 | 2018-12-24 04:05:47.521400
AFT | Shares | AFT CORPORATION LIMITED | Technology Hardware & Equipment | AUD | None | None | 2018-12-24 04:05:47.521414 | 2018-12-24 04:05:47.521414
